Ảakhu	A ram headed god[152]
Ȧakhu	God of the fifth Ảat[152]
Ảakhu-ḥetch-t	A god of the dead[153]
Ảakhui	A god with two lotus scepters[152]
Ảakhu-ra	A singing god of dawn[153]
Ảakhu-sa-ta-f	A warrior god[153]
Aani	A protector ape headed god[58]
Aati	One of the 42 judges of the souls of the dead[58]
Abu	A god of light[58]
Ahti	A malevolent hippopotamus goddess[109]
Aker	A god of the earth and the horizon[3]
Amathaunta	An ocean goddess[70]
Amenhotep	A scribe and architect in the court of Amenhotep III, later deified for his wisdom[59]
Ament	Daughter of Horus and Hathor, a goddess of Underworld hospitality[70]
Am-heh	A dangerous underworld god[59]
Ȧmi-beq	A god of the dead[154]
Ảmi-haf	A god who has a harpoon[155]
Ami-Ḥe-t-Serqet-Ka-hetep-t	A god[155]
Ảmi-kar	A singing ape god[156]
Ảmi-keḥau	A god[156]
Ảmi-khent-āat	A goddess of Edfû[155]
Ảmi-naut-f	A serpent god[154]
Ảmi-nehţ-f	A god[155]
Ảmi-neter	A singing god[155]
Ảmi-Nu	A sky god[155]
Ȧmi-Pe	A lion god[154]
Ảmi-pet-seshem-neterit	One of the 12 Thoueris goddesses[154]
Ảmi-reţ	A god[155]
Ảmi-seḥseḩ	A god[156]
Ảmi-sekhet-f	A god of his domain[156]
Ảmi-sepa-f	A god[156]
Ảmi-suḥt-f	A god of the ninth Ảat[156]
Ảmi-ta	A serpent god[156]
Ảmit-Qeţem	A goddess who assisted resurrecting Osiris[156]
Ảmit-she-t-urt	A goddess[156]
Ảmi-urt	A cow goddess[154]
Ảmi-utchat-sảakhu-Ảtemt	One of the 12 Thoueris goddesses[154]
Ảmi-ut	God of the ninth day of the month[154]
Ammit	Goddess who devoured condemned souls[110]
Amn	A goddess who welcomed souls of the dead in the Underworld[70]
Amu-Aa	A god who accompanies Osiris during the second hour of the night[58]
Amun	A creator god, patron deity of the city of Thebes, and the preeminent deity in Egypt during the New Kingdom[4]
Amunet	Female counterpart of Amun and a member of the Ogdoad[3]
An-a-f	One of the 42 judges of the souls of the dead[58]
Anat	A war and fertility goddess, originally from Syria, who entered Egyptian religion in the Middle Kingdom[111]
Andjety	A god of the ninth nome of Upper Egypt[61]
Anhefta	A protective spirit who guards one end of the ninth division of Tuat[58]
Ȧnḥert	A bearded sky god[62]
An-hetep-f	One of the 42 judges of the souls of the dead[58]
Anhur	A god of war and hunting[5][6]
Ani	A god of festivals[58]
Anit	Wife of Andjety[70]
An-mut-f
Ảnmut-făbesh	A star god[157]
Ānqet	A feathered headdress wearing goddess worshipped at the First Cataract[62]
Āntȧ	A daughter of Ra[62]
An-tcher-
Antd	A sister of Astarte[112]
Anti	A hawk god of Upper Egypt[63]
Antywy	A god of the tenth nome of Upper Egypt[158]
Anubis	The god/goddess of embalming and protector of the dead[57]
Anuke	A war goddess[63]
Anuket	A goddess of Egypt's southern frontier regions, particularly the lower cataracts of the Nile[30]
